count,interactionTypeName,interactionTypeId
1,farms,no:match
1,laysEggsIn,http://purl.obolibrary.org/obo/RO_0002624
6,providesNutrientsFor,http://purl.obolibrary.org/obo/RO_0002469
15,inhabits,no:match
60,laysEggsOn,http://purl.obolibrary.org/obo/RO_0008507
62,ectoParasitoid,no:match
134,livesUnder,no:match
136,livesNear,no:match
141,guestOf,no:match
174,kleptoparasiteOf,http://purl.obolibrary.org/obo/RO_0008503
211,hyperparasiteOf,http://purl.obolibrary.org/obo/RO_0002553
580,hasHabitat,http://purl.obolibrary.org/obo/RO_0002303
617,livesInsideOf,no:match
1213,livesOn,no:match
1467,endoparasitoidOf,no:match
1540,commensalistOf,http://purl.obolibrary.org/obo/RO_0002441
1946,epiphyteOf,http://purl.obolibrary.org/obo/RO_0008501
1988,createsHabitatFor,http://purl.obolibrary.org/obo/RO_0008505
2179,coRoostsWith,http://purl.obolibrary.org/obo/RO_0002801
5254,hasDispersalVector,no:match
6344,kills,http://purl.obolibrary.org/obo/RO_0002626
8079,symbiontOf,http://purl.obolibrary.org/obo/RO_0002440
8295,ecologicallyRelatedTo,http://purl.obolibrary.org/obo/RO_0002321
12169,parasitoidOf,http://purl.obolibrary.org/obo/RO_0002208
14117,hasVector,http://purl.obolibrary.org/obo/RO_0002460
21259,endoparasiteOf,http://purl.obolibrary.org/obo/RO_0002634
33591,coOccursWith,http://purl.obolibrary.org/obo/RO_0008506
36344,mutualistOf,http://purl.obolibrary.org/obo/RO_0002442
43266,visits,http://purl.obolibrary.org/obo/RO_0002618
62058,ectoparasiteOf,http://purl.obolibrary.org/obo/RO_0002632
62975,pollinates,http://purl.obolibrary.org/obo/RO_0002455
96440,hemiparasiteOf,http://purl.obolibrary.org/obo/RO_0002237
219982,visitsFlowersOf,http://purl.obolibrary.org/obo/RO_0002622
227958,pathogenOf,http://purl.obolibrary.org/obo/RO_0002556
392892,preysOn,http://purl.obolibrary.org/obo/RO_0002439
552161,parasiteOf,http://purl.obolibrary.org/obo/RO_0002444
682085,adjacentTo,http://purl.obolibrary.org/obo/RO_0002220
2081872,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
2142362,eats,http://purl.obolibrary.org/obo/RO_0002470
13259567,hasHost,http://purl.obolibrary.org/obo/RO_0002454
